Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Block Name (block_name),Block Code (block_code),Gram Panchayat Name (gp_name),Gram Panchayat Code (gp_code),No. of Villages Where Survey  completed (villages_surveyed),Total Population (tot_pop),Male Population (pop_male),Female Population (pop_female),Total Household (tot_hh),Availability of banks (bank),Banks at a distance less than1 km (bank_dist_l1km),Banks at a distance upto 2 km (bank_dist_2km),Banks at a distance upto 5 km (bank_dist_5km),Banks at a distance upto 10 km (bank_dist_10km),Banks at a distance greater than 10 km (bank_dist_g10_km),Internet-Enabled Business Correspondent (bc_w_internet),ATM Available (atm),Broadband Internet Available (internet_bb),Connected by All-Weather Road (all_weather_road),Fully Covered Pucca Roads (cc_road_full),Partially Covered Pucca Roads (cc_road_partial),No Pucca Road Coverage (cc_road_not),Bus Transport Available (pub_trans_bus),Van Transport Available (pub_trans_van),Auto Transport Available (pub_trans_auto),No Public Transport (pub_trans_no),Railway Station Available (railway),Common Service Centre in Panchayat Bhawan (csc_panchayat),Separate Common Service Centre (csc_seperate),No Common Service Centre Available (csc_not),Domestic Electricity <1 Hr (elec_domes_1hrs),Domestic Electricity 1–4 Hrs (elec_domes_4hrs),Domestic Electricity 4–8 Hrs (elec_domes_8hrs),Domestic Electricity 8–12 Hrs (elec_domes_12hrs),No Domestic Electricity (elec_domes_no),Electricity for MSMEs (elec_msme),PDS Available (pds),Mandi Available (mandi),Regular Market Available (reg_mkt),Weekly Haat Available (weekly_haat),No Market Available (mkt_na),Tap Water Coverage 100% (tap_100),Tap Water Coverage 50–100% (tap_50),Tap Water Coverage <50% (tap_l50),Tap Water Coverage Single Habitation (tap_one_hab),No Tap Water Coverage (tap_na),Landline Service Available (tel_ll),Mobile Service Available (tel_mob),Landline & Mobile Available (tel_both),No Telephone Service (tel_na),Households Using Clean Energy (clean_energy_hhs),Solar/Wind Electrified Households (solar_wind_elect),Kutcha Wall & Roof Households (kuccha_hhs),Post Office/Sub-Post Office Available (po_sub_po),Panchayat Bhawan Available (panch_bhawan),No Public Information Board (pib_na),Updated Public Information Board (pib_av_upd),Non-Updated Public Information Board (pib_av_not_upd),Primary School Available (prim_school),Middle School Available (middle_school),High School Available (high_school),Higher Secondary School Available (high_second_school),Degree College Available (degree_clg),No School/College Available (school_college_na),Public Library Available (public_library),Indoor Playground (indoor_sports),Outdoor Playground (outdoor_sports),Indoor & Outdoor Sports Facility (both_sports),No Sports Facility (no_sports),Vocational/ITI/RSETI/DDU-GKY Centre (vocational),CHC Available (chc),PHC Available (phc),Sub-Centre Available (subcentre),No Health Centre Available (no_health),Sub-Centre <1 km (subcentre_l1km),Sub-Centre 1–2 km (subcentre_2km),Sub-Centre 2–5 km (subcentre_5km),Sub-Centre 5–10 km (subcentre_10km),Sub-Centre >10 km (subcentre_g10km),Veterinary Clinic Available (veterinary),Veterinary Clinic <1 km (veterinary_l1km),Veterinary Clinic 1–2 km (veterinary_2km),Veterinary Clinic 2–5 km (veterinary_5km),Veterinary Clinic 5–10 km (veterinary_10km),Veterinary Clinic >10 km (veterinary_g10km),Closed Drainage Available (closed_drain),Pucca Drain with Slab Cover (pucca_slab_drain),Open Pucca Drain (pucca_uncovered_drain),Open Kutcha Drain (kuchha_drain),No drainage facility (no_drain),Common pastures (pcomm_pasture)
"2020","Maharashtra","27","Beed","470","Patoda","4329","Antapur","171812",1,945,480,465,171,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,95,0,35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"2020","Maharashtra","27","Satara","494","Khandala","4561","Salav","237413",1,205,97,108,53,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,53,0,53,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Ambad","167559",1,2591,1238,1353,529,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,400,0,150,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Ambewangan","167560",1,765,378,387,194,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,153,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Ambhol","167803",2,2148,1113,1035,474,0,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,1,0,1,0,1,0,0,2,0,0,2,2,0,0,0,2,0,2,0,0,0,0,2,0,0,420,0,225,1,1,0,2,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Ambit","167561",2,1019,489,530,246,0,0,0,0,0,2,0,0,0,1,0,1,1,2,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,2,0,0,0,0,2,0,1,0,1,195,0,90,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Ambitkhind","167557",1,732,359,373,201,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,125,0,86,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Aurangpur","167562",1,1004,510,494,205,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,160,0,122,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Babhulwandi","167563",1,1477,744,733,300,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,110,0,195,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"2020","Maharashtra","27","Ahmednagar","466","Akole","4277","Badagi","167564",1,600,350,250,100,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,30,0,60,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
