Year (year),State Code (state_code),State Name (state_name),District Code (district_code),District Name (district_name),Block Code (block_code),Block Name (block_name),Gram Panchayat Code (gp_code),Gram Panchayat Name (gp_name),Village Code (village_code),Village Name (village_name),Total Households (tot_hh),Farm Activity Households (farm_activity_hhs),Non-Farm Activity Households (non_farm_activity_hhs),Government Seed Centres Available (govt_seed_centres),Watershed Development Projects Available (watershed_dev_projects),Community Rainwater Harvesting Systems Available (community_rainwater_harvesting),Farmer Collectives Available (farmers_collectives),Food Grain Warehouses Available (food_grain_warehouses),Primary Processing Facilities Available (primary_processing_facilities),Custom Hiring Centres Available (custom_hiring_centres)
"2020","27","Maharashtra","500","Yavatmal","4631","Wani","194657","Aheri","543974","Aheri",327,0,0,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4394","Kalamnuri","176185","Zara","546151","Zara",204,0,0,false,false,false,"No",false,false,false
"2020","27","Maharashtra","500","Yavatmal","4631","Wani","194730","Rasa","544024","Rasa",905,0,0,false,false,false,"No",false,false,false
"2020","27","Maharashtra","500","Yavatmal","4631","Wani","194757","Zola","543948","Zola",145,0,0,false,false,false,"No",false,false,false
"2020","27","Maharashtra","500","Yavatmal","4622","Ghatanji","194005","Khapri","543412","Khapri",1,0,0,false,false,false,"No",false,false,false
"2020","27","Maharashtra","490","Pune","4524","Velhe","186623","Pabe","556594","Pabe",263,263,0,false,false,false,"No",false,false,false
"2020","27","Maharashtra","490","Pune","4524","Velhe","186586","Dhanep","556588","Chapet",1,0,0,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175934","Selu","546348","Selu",357,200,20,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175945","Tuljapurwadi","546277","Wadi Tuljapur",51,48,2,false,false,false,"No",false,true,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175833","Akoli","546306","Akoli",601,500,100,false,false,false,"No",false,false,true
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175833","Akoli","546312","Chincholi T. A.",20,20,0,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175836","Asegaon","546414","Asegaon",572,450,110,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175896","Mahagoan","546361","Mahagaon",233,180,30,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175879","Khandegoan","546310","Khandegaon",632,550,80,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175849","Dhabhadi","546388","Dabhadi",204,150,54,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175889","Kupti","546332","Kupti",305,201,27,false,false,true,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175890","Kurunda","546345","Kurunda",2623,1702,250,false,true,false,"No",true,true,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175948","Wakhari","546387","Wakhari",423,400,23,false,true,false,"FPOs",true,true,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175832","Adgaon","546276","Adgaon",1001,600,400,false,false,false,"No",false,true,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175907","Pimpalgaon","546292","Pimpalgaon Hajam",273,200,72,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175907","Pimpalgaon","546293","Sangmeshwar",1,1,0,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175851","Dagapimpri","546416","Dagadpimpri",90,50,30,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175839","Bhendegaon","546360","Bhendegaon",300,230,1,true,true,true,"No",true,true,true
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175949","Wapti","546331","Wapti",434,300,134,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175908","Palshi","546326","Palsi",325,280,45,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175925","Runj","546408","Runj T. Asegaon",300,250,0,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175943","Tembhurni","546304","Tembhurni",609,550,59,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175843","Borgaon","546398","Borgaon Kh.",104,100,4,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175874","Kanhergaon","546403","Kanhergaon",191,150,41,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175887","Kothari","546341","Kotharwadi",143,99,43,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175887","Kothari","546342","Kothari",278,190,20,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175877","Karanji","546269","Karanji",331,200,30,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175877","Karanji","546294","Nagapur",124,100,24,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175869","Jawala(B)","546327","Jawala Bk.",212,112,55,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175869","Jawala(B)","546328","Jawala Kh.",100,60,40,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175934","Selu","546347","Wartala",92,31,20,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176278","Taktoda","545796","Taktoda",475,400,75,false,true,true,"FPOs",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176228","Kadoli","545790","Kadoli",668,500,168,false,true,true,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176244","Limbala Aamdari","545745","Limbala Amdari",43,35,8,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176244","Limbala Aamdari","545746","Limbala Tanda",281,200,81,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176273","Sonsawangi","545730","Bamani Kh",81,51,30,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176273","Sonsawangi","545731","Sonsawangi",32,25,7,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176273","Sonsawangi","545783","Garkheda",75,50,25,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176205","Datala Bk","545772","Datada Bk",252,230,22,false,false,false,"Both",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176236","Kendra (Bk)","545794","Kendra Bk",620,500,40,false,true,true,"No",false,true,true
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176234","Kawatha (Bk)","545803","Kawatha Bk.",553,430,123,false,true,true,"PACS",false,false,true
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176267","Shegaon","545753","Shegaon",400,350,50,false,false,true,"FPOs",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176219","Hatala","545797","Hatala",480,400,80,false,true,false,"No",false,false,true
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176263","Sapatgaon","545808","Sapatgaon",336,300,36,false,false,true,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176291","Watkali","545774","Watkali",545,500,45,false,false,false,"Both",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176294","Yeldari","545742","Yeldari",110,100,10,false,false,false,"Both",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176191","Ban","545708","Ban",292,200,92,false,true,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176231","Kapadsingi","545713","Kapadsingi",416,395,21,false,false,true,"No",false,false,true
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176265","Sawarkheda","545719","Sawarkheda",186,170,16,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176265","Sawarkheda","545773","Suldali Kh",110,100,10,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176216","Goregaon","545789","Goregaon",2014,1500,471,false,true,false,"No",true,true,true
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176220","Hatta","545738","Hatta",524,450,15,false,false,true,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176220","Hatta","545747","Hatta Tanda",77,48,2,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176276","Sukali (Bk)","545764","Suldali Bk.",221,150,71,false,false,true,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176276","Sukali (Bk)","545766","Belkheda",29,10,19,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176208","Dhangarwadi","545759","Dhangarwadi",282,245,0,false,false,true,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176246","Lingdari","545824","Lingdari",235,200,35,false,false,false,"No",false,false,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176201","Chikhalagar","545827","Chikhalagar",250,225,25,false,false,false,"No",false,false,true
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176268","Singikhamba","545720","Shinagikhamba",375,300,75,false,false,false,"No",false,false,true
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176282","Uti (Purna)","545728","Uti Purna",153,0,0,false,true,false,"No",false,true,false
"2020","27","Maharashtra","477","Hingoli","4395","Sengaon","176230","Kahakar(Bk)","545756","Kahakar Bk",600,400,200,false,true,true,"Both",false,true,true
