Year (year),State Code (state_code),State Name (state_name),District Code (district_code),District Name (district_name),Block Code (block_code),Block Name (block_name),Gram Panchayat Code (gp_code),Gram Panchayat Name (gp_name),Village Code (village_code),Village Name (village_name),Banks (banks),ATM (atm),All-Weather Road Connectivity (all_weather_road_connectivity),Internal Pucca Roads (internal_pucca_roads),Public Transport Availability (public_transport),Common Service Centre (common_service_centre),Domestic Electricity Supply (Hours) (domestic_electricity_hrs),Public Distribution System (PDS) (pds),Market Facilities (market_facilities),Piped Tap Water Coverage (piped_tap_water),Telephone Services (telephone_services),Post Office/Sub-Post Office (post_office_subpost_office),Primary School (primary_school),Middle School (middle_school),High School (high_school),Higher Secondary School (higher_secondary_school),Vocational Education Centre (ITI/RSETI/DDU-GKY) (vocational_centre_iti_rseti_ddu_gky),Veterinary Hospital/Clinic (veterinary_hospital_clinic),Drainage Facilities (drainage_facilities),Soil Testing Centre (soil_testing_centre),Government Seed Centre (govt_seed_centre),Fertilizer Shop (fertilizer_shop),Community Waste Disposal System (community_waste_disposal),Community Biogas/Waste Recycling Facility (community_biogas_waste_recycling),Anganwadi Centre (aanganwadi_centre)
"2020","27","Maharashtra","498","Wardha","4604","Arvi","192701","Antardoh","533766","Mahamadpur",false,false,false,"Not covered","No","No","1-4 hrs",false,"No","Not Covered","Mobile",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","498","Wardha","4611","Wardha","192734","Neri (Pu)","533753","Roshanpur",false,false,false,"Partially covered","No","No","No",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","498","Wardha","4604","Arvi","192767","Wathoda","533739","Jamalpur",false,false,false,"Not covered","No","No",">12 hrs",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","498","Wardha","4604","Arvi","192754","Shirpur(B)","533684","Ashta",false,false,false,"Not covered","No","No","1-4 hrs",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","498","Wardha","4608","Karanja","192958","Botona","533536","Dhanora",false,false,false,"Not covered","Auto","No",">12 hrs",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","468","Amravati","4306","Dhamangaon Ril","169900","Talegaon Dashashar","533366","Khanapur",false,false,false,"Not covered","No","No","No",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","498","Wardha","4608","Karanja","192998","Sawardoh","533535","Ridhapur",false,false,false,"Not covered","No","No","No",false,"No","Not Covered","No",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","468","Amravati","4311","Warud","170176","Jamthi Ganeshpur","532407","Bhalapur",false,false,false,"Not covered","No","No","4-8 Hrs",false,"No","Not Covered","Both",false,false,false,false,false,false,false,"No",false,false,false,false,false,false
"2020","27","Maharashtra","499","Washim","4617","Washim","193672","Pimpalgaon","531259","Pimpalgaon",false,false,false,"Not covered","Auto","No","8-12 Hrs",true,"No","Not Covered","Mobile",false,false,false,false,false,false,false,"No",false,false,false,false,false,true
"2020","27","Maharashtra","468","Amravati","4308","Morshi","170038","Umarkhed","532232","Molvan",false,false,false,"Not covered","No","No","No",false,"No","Not Covered","No",false,false,false,false,false,false,false,"Open Kuccha Drainage",false,false,false,false,false,false
