Year (year),State Code (state_code),State Name (state_name),District Code (district_code),District Name (district_name),Block Code (block_code),Block Name (block_name),Gram Panchayat Code (gp_code),Gram Panchayat Name (gp_name),Village Code (village_code),Village Name (village_name),Kutcha Wall & Roof Households (hh_kutcha_wall_roof),Kutcha Wall & Roof Households (%) (perct_hh_kutcha_wall_roof),PMAY Houses (pmay_house),PMAY Permanent Waitlist (pmay_permanent_wait_list),State Housing Scheme Houses (any_state_housing_scheme),State Housing Scheme Permanent Waitlist (any_state_housing_permanent_wait_list)
"2020","27","Maharashtra","498","Wardha","4605","Ashti","192799","Sahur","533415","Ghatsur",0,0,0,0,0,0
"2020","27","Maharashtra","497","Thane","4590","Bhiwandi","191879","Dunge","552484","Dunge",0,0,25,0,0,0
"2020","27","Maharashtra","497","Thane","4589","Ambernath","191846","Savare","553070","Savare",0,0,0,0,0,0
"2020","27","Maharashtra","500","Yavatmal","4627","Ner","194345","Loni","541993","Shabaspur",0,0,0,0,0,0
"2020","27","Maharashtra","484","Nagpur","4451","Nagpur","180478","Shirpur","535813","Kavdimet",0,0,0,0,0,0
"2020","27","Maharashtra","491","Raigad","4532","Panvel","187094","Kanpoli","553379","Kanpoli",0,0,0,0,0,0
"2020","27","Maharashtra","494","Satara","4566","Patan","189934","Kolekarwadi","564402","Kolekarwadi",0,0,0,0,0,0
"2020","27","Maharashtra","494","Satara","4568","Satara","190231","Gove","563770","Gove",12,2.21,0,0,0,0
"2020","27","Maharashtra","498","Wardha","4605","Ashti","192799","Sahur","533405","Borkhedi",0,0,0,0,0,0
"2020","27","Maharashtra","498","Wardha","4605","Ashti","192799","Sahur","533419","Husnabad",0,0,0,0,0,0
"2020","27","Maharashtra","498","Wardha","4611","Wardha","193214","Yesamba","534134","Dattapur",0,0,0,0,0,0
"2020","27","Maharashtra","498","Wardha","4611","Wardha","193148","Bhiwapur","534153","Ambapur",0,0,0,0,0,0
"2020","27","Maharashtra","498","Wardha","4611","Wardha","193148","Bhiwapur","534154","Bhawanpur",0,0,0,0,0,0
"2020","27","Maharashtra","481","Latur","4440","Udgir","179964","Kherda (Kh)","560967","Kherda Kh.",10,3.48,10,10,10,10
"2020","27","Maharashtra","498","Wardha","4611","Wardha","193188","Paloti","534184","Afzalpur",0,0,0,0,0,0
"2020","27","Maharashtra","498","Wardha","4610","Seloo","193121","Rehaki","533969","Nababpur",0,0,0,0,0,0
"2020","27","Maharashtra","477","Hingoli","4393","Hingoli","175966","Bondala","545854","Bondala",125,68.68,0,0,0,0
"2020","27","Maharashtra","477","Hingoli","4392","Basmat","175838","Balegaon","546315","Balegaon",95,21.02,20,20,20,20
"2020","27","Maharashtra","481","Latur","4436","Latur","179662","Niwali","560102","Niwali",110,9.98,4,66,14,66
"2020","27","Maharashtra","498","Wardha","4605","Ashti","192799","Sahur","533416","Nandora",0,0,0,0,0,0
"2020","27","Maharashtra","498","Wardha","4611","Wardha","193188","Paloti","534187","Balapur",0,0,0,0,0,0
"2020","27","Maharashtra","498","Wardha","4607","Hinganghat","192879","Bhiwapur","534508","Bhiwapur",0,0,0,0,0,0
"2020","27","Maharashtra","498","Wardha","4610","Seloo","193100","Hingni","533901","Mohgaon",0,0,0,0,0,0
"2020","27","Maharashtra","498","Wardha","4610","Seloo","193100","Hingni","533925","Akoli",0,0,0,0,0,0
"2020","27","Maharashtra","477","Hingoli","4393","Hingoli","175966","Bondala","545911","Dudheri",58,45.31,0,0,0,0
"2020","27","Maharashtra","477","Hingoli","4394","Kalamnuri","176136","Nawkha K","546148","Rahimapur",0,0,0,0,0,0
"2020","27","Maharashtra","481","Latur","4436","Latur","179667","Raiwadi","560160","Raiwadi",69,25.56,28,59,25,25
"2020","27","Maharashtra","467","Akola","4292","Akot","168974","Belura","529721","Belura",31,7.6,14,60,0,0
"2020","27","Maharashtra","467","Akola","4292","Akot","169042","Vastapur","529746","Januna",0,0,0,0,0,0
"2020","27","Maharashtra","467","Akola","4291","Akola","168886","Donwada","530027","Donwada",50,11.66,39,152,43,152
