Year (year),State Code (state_code),State Name (state_name),District Code (district_code),District Name (district_name),Block Code (block_code),Block Name (block_name),Gram Panchayat Code (gp_code),Gram Panchayat Name (gp_name),Village Code (village_code),Village Name (village_name),Total Population (tot_pop),Male Population (pop_male),Female Population (pop_female),Total Households (tot_hh),Bank (bank),Nearest Bank Distance (bank_distance),Business Correspondent with Internet (bc_w_internet),ATM (atm),Internet / Broadband Facility (internet_bb),Connected To All Weather Road (all_weather_road),Internal Pucca Roads (Cc/ Brick Road) (cc_road),Public Transport (pub_trans),Railway Station (railway),Common Service Centre (csc_avail),Domestic Electricity (elec_domes),Electricity Supply to MSME units (elec_msme),Public Distribution System (pds),Markets (avl_market),Piped Tap Water (tap_water),Telephone Services (telepone),HHs using Clean Energy(LPG/Biogas) (clean_energy_hhs),Solar / Wind Energy For Electrification (solar_wind_elect),HHs with Kuccha Wall and Kuccha Roof (kuccha_hhs),Post Office / Sub-Post Office (po_sub_po),Panchayat Bhawan (panch_bhawan),Public Information Board (pib),Primary School (prim_school),Middle School (middle_school),High School (high_school),Higher / Secondary School (high_second_school),Degree College (degree_clg),Public Library (public_library),Recreational Centre / Sports Playground (rec_sports),Vocational Educational Centre (vocational),Sub Centre (subcentre),Nearest Sub Centre (subcentre_dist),Veterinary Clinic Hospital (veterinary),Nearest Veterinary Clinic (veterinary_dist),Drainage Facilities (drainage),Common Pastures (pcomm_pasture)
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","261571","Palakha","525258","Kusumveri",561,283,278,91,false,"5-10 kms",false,"No",false,false,"Not covered","Auto",false,"No","8-12 Hrs",false,true,"No","Not Covered","No",49,false,29,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","5-10 kms",false,"5-10 kms","No",false
"2020","27","Maharashtra","491","Raigad","4534","Poladpur","187227","Deole","555189","Dabhil",330,142,188,95,false,"5-10 kms",false,"No",false,false,"Not covered","Bus",false,"No",">12 hrs",false,true,"No","50 to 100% habitations covered","No",45,false,8,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","491","Raigad","4534","Poladpur","187227","Deole","555190","Haldule",225,103,122,50,false,"5-10 kms",false,"No",false,true,"Not covered","Bus",false,"No",">12 hrs",false,false,"No","Not Covered","No",35,false,8,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","1-2 kms",false,">10 kms","Open Kuccha Drainage",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","261571","Palakha","525259","Palkha",619,299,320,129,false,"2-5 kms",false,"No",false,true,"Not covered","Auto",false,"No","4-8 Hrs",true,true,"No","Not Covered","No",62,false,99,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No","2-5 kms",false,"5-10 kms","No",false
"2020","27","Maharashtra","486","Nandurbar","4474","Akarani","261571","Palakha","525260","Nawegaon",270,145,125,48,false,">10 kms",false,"No",false,false,"Not covered","Auto",false,"No","8-12 Hrs",true,true,"No","Not Covered","No",28,false,48,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,"5-10 kms","No",false
"2020","27","Maharashtra","475","Gadchiroli","4373","Bhamaragad","174803","Kuwwakodi","539734","Wengurwada (M)",1,1,0,1,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","No",false,false,"No","only one habitation is covered","No",0,false,0,false,false,"Available but not updated",false,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","475","Gadchiroli","4382","Sironcha","175163","Medaram Mal","540062","Bhogapur Patch",12,6,6,2,false,">10 kms",false,"No",false,false,"Not covered","Bus",false,"No","8-12 Hrs",false,false,"No","Not Covered","Mobile",1,false,1,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No","< 1 km",false,">10 kms","No",false
"2020","27","Maharashtra","475","Gadchiroli","4382","Sironcha","175163","Medaram Mal","540063","Bhogapur W.L.",20,10,10,2,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","8-12 Hrs",false,false,"No","Not Covered","Mobile",1,false,1,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","475","Gadchiroli","4382","Sironcha","175163","Medaram Mal","540064","Tamandala Mal",78,42,36,20,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No",">12 hrs",false,false,"No","Not Covered","Mobile",12,false,5,false,false,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","475","Gadchiroli","4382","Sironcha","175174","Rameshgudam","540090","Rameshgudam",554,291,263,116,false,">10 kms",false,"No",false,false,"Not covered","Van",false,"No","4-8 Hrs",true,false,"No","Not Covered","Mobile",19,false,65,false,true,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",true
"2020","27","Maharashtra","491","Raigad","4534","Poladpur","187260","Wakan","555194","Wakan",1660,806,854,386,true,"Not applicable",true,"Yes",true,true,"Not covered","Bus",false,"No",">12 hrs",true,false,"No","<50% habitation covered","Mobile",259,false,98,true,true,"Not Available",true,true,true,false,false,false,"No",false,"PHC","Not applicable",false,"2-5 kms","No",false
"2020","27","Maharashtra","491","Raigad","4529","Mangaon","186959","Kumbhe","554577","Kumbhe",222,139,83,88,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No",">12 hrs",false,false,"No","<50% habitation covered","Mobile",6,false,2,false,false,"Available and updated",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","Closed Drainage",false
"2020","27","Maharashtra","475","Gadchiroli","4382","Sironcha","175174","Rameshgudam","540091","Kistyaplli",301,158,143,74,false,">10 kms",false,"No",false,false,"Not covered","Van",false,"No","4-8 Hrs",true,false,"No","Not Covered","Mobile",21,false,68,false,true,"Not Available",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",true
"2020","27","Maharashtra","475","Gadchiroli","4377","Etapalli","174975","Gardewada","539594","Hachbodi",122,65,57,21,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","8-12 Hrs",false,false,"No","Not Covered","No",8,false,9,false,false,"Available but not updated",true,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","475","Gadchiroli","4377","Etapalli","174977","Geda","539633","Tadpalli Alias Naralhur",675,339,336,135,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No",">12 hrs",false,true,"No","Not Covered","No",84,false,8,false,false,"Not Available",true,false,false,false,false,false,"Outdoor",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","475","Gadchiroli","4377","Etapalli","174988","Kotami","539520","Paidi",231,109,122,38,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","No",false,true,"No","Not Covered","No",6,false,2,false,false,"Not Available",true,false,false,false,false,false,"Outdoor",false,"No",">10 kms",false,">10 kms","Open Kuccha Drainage",false
"2020","27","Maharashtra","475","Gadchiroli","4377","Etapalli","174988","Kotami","539521","Mandoli Rithi",0,0,0,1,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","No",false,false,"No","Not Covered","No",0,false,0,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","498","Wardha","4605","Ashti","192791","Moi","533446","Thekakolha",20,11,9,6,false,">10 kms",false,"No",false,false,"Fully covered","No",false,"No",">12 hrs",false,false,"No","100% habitations covered","Mobile",6,false,4,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No","5-10 kms",false,"5-10 kms","No",false
"2020","27","Maharashtra","498","Wardha","4605","Ashti","192791","Moi","533447","Thekamot",1,1,0,1,false,">10 kms",false,"No",false,false,"Not covered","No",false,"No","No",false,false,"No","Not Covered","No",0,false,0,false,false,"Not Available",false,false,false,false,false,false,"No",false,"No",">10 kms",false,">10 kms","No",false
"2020","27","Maharashtra","498","Wardha","4611","Wardha","193146","Belgaon","534064","Wagdara",167,92,75,52,false,"2-5 kms",true,"No",true,false,"Not covered","Bus",false,"No",">12 hrs",true,false,"No","Not Covered","Mobile",0,false,3,false,true,"Not Available",true,false,false,false,false,false,"No",false,"No","5-10 kms",false,">10 kms","No",false
